sujeto;predicado;objeto;confianza;frase
"conic_sections";"can";"can also describe by set_of_points_in_the_coordinate_plane";1.000;"conic_sections can also be described by a set_of_points_in_the_coordinate_plane."
"conic_sections";"can";"can describe by set_of_points_in_the_coordinate_plane";1.000;"conic_sections can also be described by a set_of_points_in_the_coordinate_plane."
"graph_of_any_quadratic_equation_in_two_variables";"be";"conic_section";1.000;"Later in this chapter, we will see that the graph_of_any_quadratic_equation_in_two_variables is a conic_section."
"signs_of_the_equations_and_the_coefficients_of_the_variable_terms";"determine";"shape";1.000;"The signs_of_the_equations_and_the_coefficients_of_the_variable_terms determine the shape."
"section";"focus on";"four variations_of_the_standard_form_of_the_equation_for_the_ellipse";1.000;"This section focuses on the four variations_of_the_standard_form_of_the_equation_for_the_ellipse."
"set";"be in";"plane that sum of they distance from two fixed_points constant";1.000;"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed_points is a constant."
"sum";"be";"constant";0.548;"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed_points is a constant."
"fixed_point";"be call";"plural";1.000;"Each fixed_point is called a focus (plural: foci)."
"fixed_point";"be call";"focus";1.000;"Each fixed_point is called a focus (plural: foci)."
"fixed_point";"be";"call";0.061;"Each fixed_point is called a focus (plural: foci)."
"ellipse two thumbtack";"use";"piece of cardboard";0.333;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"we";"can draw";"ellipse";1.000;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"two thumbtack";"ellipse";"pencil";0.333;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"we";"can draw";"two thumbtack";1.000;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"ellipse two thumbtack";"use";"piece";0.333;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"two thumbtack";"ellipse";"string";0.333;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"thumbtack";"form";"foci_of_the_ellipse";1.000;"Place the thumbtacks in the cardboard to form the foci_of_the_ellipse."
"thumbtack";"be in";"cardboard";1.000;"Place the thumbtacks in the cardboard to form the foci_of_the_ellipse."
"length_of_the_string";"represent";"constant in definition";0.820;"Cut a piece_of_string longer than the distance_between_the_two_thumbtacks (the length_of_the_string represents the constant in the definition)."
"length_of_the_string";"represent";"constant";0.820;"Cut a piece_of_string longer than the distance_between_the_two_thumbtacks (the length_of_the_string represents the constant in the definition)."
"result";"be";"ellipse";1.000;"The result is an ellipse."
