sujeto;predicado;objeto;confianza;frase
"overall demand";"be in";"economy";1.000;"Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them."
"economy";"have";"ability to supply";1.000;"Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them."
"overall demand";"be in";"economy";1.000;"Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them."
"economy";"have";"ability to supply";1.000;"Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them."
"economy";"have";"ability to supply";1.000;"Demand-pull inflation is a type of inflation that occurs when the overall demand for goods and services in an economy outpaces the economy's ability to supply them."
"increase";"lead to";"surge demand";1.000;"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"surge";"be in";"demand";1.000;"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"increase";"be in";"consumer spending";1.000;"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"increase";"lead to";"surge";1.000;"In demand-pull inflation, there is an increase in consumer spending, business investment, or government expenditure, leading to a surge in demand."
"exist production capacity";"result in";"pressure";1.000;"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"production capacity";"result in";"upward pressure";1.000;"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"production capacity";"result in";"upward pressure price";1.000;"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"production capacity";"result in";"pressure";1.000;"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"exist production capacity";"result in";"pressure price";1.000;"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"production capacity";"result in";"pressure price";1.000;"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"exist production capacity";"result in";"upward pressure price";1.000;"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"exist production capacity";"result in";"upward pressure";1.000;"As demand rises, businesses may struggle to meet the increased demand with their existing production capacities, resulting in upward pressure on prices."
"demand";"push high";"price";1.000;"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"demand";"push";"price";1.000;"Increased consumer demand can lead to a shortage of supply relative to the demand, pushing prices higher."
"they";"expand";"they production capacity";1.000;"Investment and Business Confidence: When businesses are optimistic about future prospects, they may increase investment and expand their production capacities."
"business";"be";"when optimistic";1.000;"Investment and Business Confidence: When businesses are optimistic about future prospects, they may increase investment and expand their production capacities."
"business";"be optimistic about";"future prospects";1.000;"Investment and Business Confidence: When businesses are optimistic about future prospects, they may increase investment and expand their production capacities."
"business";"be";"optimistic";1.000;"Investment and Business Confidence: When businesses are optimistic about future prospects, they may increase investment and expand their production capacities."
"business";"be";"when optimistic about future prospects";1.000;"Investment and Business Confidence: When businesses are optimistic about future prospects, they may increase investment and expand their production capacities."
