"sujeto";"predicado";"objeto";"confianza";"frase"
"fixed point";"be";"call";"0.061";"Each fixed point is called a focus (plural: foci)."
"graph of any quadratic equation in two variables";"be";"conic section";"1.0";"Later in this chapter, we will see that the graph_of_any_quadratic_equation_in_two_variables is a conic_section."
"sum";"be";"constant";"0.548";"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed points is a constant."
"result";"be";"ellipse";"1.0";"The result is an ellipse."
"fixed point";"be call";"focus";"1.0";"Each fixed point is called a focus (plural: foci)."
"fixed point";"be call";"plural";"1.0";"Each fixed point is called a focus (plural: foci)."
"thumbtacks";"be in";"cardboard";"1.0";"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"set";"be in";"coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"set";"be in";"plane that sum of they distance from two fixed points constant";"1.0";"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed_points is a constant."
"graph";"be in";"quadratic equation in two variables";"1.0";"Later in this chapter, we will see that the graph of any quadratic equation in two variables is a conic section."
"set";"be in";"set of all points ( x , y ) ( x , y ) in a plane";"1.0";"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed points is a constant."
"Conic sections";"can also describe by";"set of points in the coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"conic sections";"can also describe by";"set of points in the coordinate plane";"1.0";"conic_sections can also be described by a set_of_points_in_the_coordinate_plane."
"Conic sections";"can also describe by set in";"coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"we";"can draw";"cardboard , two thumbtacks , a pencil , and string";"1.0";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"we";"can draw";"ellipse";"1.0";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"shape";"coefficient of";"variable terms";"0.333";"The signs of the equations and the coefficients of the variable terms determine the shape."
"signs of the equations and the coefficients of the variable terms";"determine";"shape";"1.0";"The signs_of_the_equations_and_the_coefficients_of_the_variable_terms determine the shape."
"cardboard , two thumbtacks , a pencil , and string";"ellipse";"pencil";"0.333";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"cardboard , two thumbtacks , a pencil , and string";"ellipse";"string";"0.333";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"section";"focus on";"four variations of the standard form of the equation for the ellipse";"1.0";"This section focuses on the four variations_of_the_standard_form_of_the_equation_for_the_ellipse."
"thumbtacks";"form";"foci of the ellipse";"1.0";"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"thumbtacks";"form";"focus";"1.0";"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"quadratic equation";"graph of be";"conic section";"1.0";"Later in this chapter, we will see that the graph of any quadratic equation in two variables is a conic section."
"length of the string";"represent";"constant in definition";"0.82";"Cut a piece_of_string longer than the distance_between_the_two_thumbtacks (the length_of_the_string represents the constant in the definition)."
"shape";"sign of";"equations";"0.333";"The signs of the equations and the coefficients of the variable terms determine the shape."
"piece of cardboard , two thumbtacks , a pencil , and string";"use";"piece of cardboard , two thumbtacks , a pencil , and string";"0.333";"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
