"sujeto";"predicado";"objeto";"confianza";"frase"
"section";"can also describe by";"set";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"set";"be in";"coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can also describe by";"set";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can describe by";"set of point in coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can describe by set in";"coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can describe by";"set of point";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can describe by";"set of point";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can describe by";"set of point in coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can also describe by";"set of point in coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can describe by";"set";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can also describe by set in";"coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can describe by set in";"coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can also describe by";"set of point in coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can also describe by set in";"coordinate plane";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can describe by";"set";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can also describe by";"set of point";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can also describe by";"set of point";"1.0";"Conic sections can also be described by a set of points in the coordinate plane."
"graph";"be";"conic";"1.0";"Later in this chapter, we will see that the graph of any quadratic equation in two variables is a conic section."
"quadratic equation";"graph of be";"conic section";"1.0";"Later in this chapter, we will see that the graph of any quadratic equation in two variables is a conic section."
"graph";"be in";"two variable";"1.0";"Later in this chapter, we will see that the graph of any quadratic equation in two variables is a conic section."
"quadratic equation";"graph of be";"section";"1.0";"Later in this chapter, we will see that the graph of any quadratic equation in two variables is a conic section."
"shape";"coefficient of";"variable term";"0.333";"The signs of the equations and the coefficients of the variable terms determine the shape."
"shape";"coefficient of";"term";"0.333";"The signs of the equations and the coefficients of the variable terms determine the shape."
