sujeto;predicado;objeto;confianza;frase
"section";"can";"can also describe by set";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"set";"be in";"coordinate plane";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can";"can also describe by set";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can";"can describe by set of point in coordinate plane";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can";"can describe by set in coordinate plane";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can";"can describe by set of point";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can";"can describe by set of point";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can";"can describe by set of point in coordinate plane";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can";"can also describe by set of point in coordinate plane";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can";"can describe by set";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can";"can also describe by set in coordinate plane";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can";"can describe by set in coordinate plane";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can";"can also describe by set of point in coordinate plane";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can";"can also describe by set in coordinate plane";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can";"can describe by set";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"section";"can";"can also describe by set of point";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"conic section";"can";"can also describe by set of point";1.000;"Conic sections can also be described by a set of points in the coordinate plane."
"graph";"be";"conic";1.000;"Later in this chapter, we will see that the graph of any quadratic equation in two variables is a conic section."
"quadratic equation";"graph of be";"conic section";1.000;"Later in this chapter, we will see that the graph of any quadratic equation in two variables is a conic section."
"graph";"be in";"two variable";1.000;"Later in this chapter, we will see that the graph of any quadratic equation in two variables is a conic section."
"quadratic equation";"graph of be";"section";1.000;"Later in this chapter, we will see that the graph of any quadratic equation in two variables is a conic section."
"shape";"coefficient of";"variable term";0.333;"The signs of the equations and the coefficients of the variable terms determine the shape."
"shape";"coefficient of";"term";0.333;"The signs of the equations and the coefficients of the variable terms determine the shape."
"sign";"determine";"shape";1.000;"The signs of the equations and the coefficients of the variable terms determine the shape."
"coefficient";"determine";"shape";1.000;"The signs of the equations and the coefficients of the variable terms determine the shape."
"shape";"sign of";"equation";0.333;"The signs of the equations and the coefficients of the variable terms determine the shape."
"section";"focus on";"four variation of standard form of equation";1.000;"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation of form";1.000;"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation of form of equation for ellipse";1.000;"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation";1.000;"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation of standard form of equation for ellipse";1.000;"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation of standard form";1.000;"This section focuses on the four variations of the standard form of the equation for the ellipse."
"section";"focus on";"four variation of form of equation";1.000;"This section focuses on the four variations of the standard form of the equation for the ellipse."
"set";"be in";"plane that sum of they distance from two fix point constant";1.000;"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed points is a constant."
"sum";"be";"constant";0.548;"An ellipse is the set of all points (x,y)(x,y) in a plane such that the sum of their distances from two fixed points is a constant."
"fix point";"be";"call";0.061;"Each fixed point is called a focus (plural: foci)."
"fix point";"be call";"focus";1.000;"Each fixed point is called a focus (plural: foci)."
"fix point";"be call";"plural";1.000;"Each fixed point is called a focus (plural: foci)."
"ellipse two thumbtack";"use";"piece of cardboard";0.333;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"we";"can draw";"ellipse";1.000;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"two thumbtack";"ellipse";"pencil";0.333;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"we";"can draw";"two thumbtack";1.000;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"ellipse two thumbtack";"use";"piece";0.333;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"two thumbtack";"ellipse";"string";0.333;"We can draw an ellipse using a piece of cardboard, two thumbtacks, a pencil, and string."
"thumbtack";"form";"focus";1.000;"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"thumbtack";"be in";"cardboard";1.000;"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"thumbtack";"form";"focus of ellipse";1.000;"Place the thumbtacks in the cardboard to form the foci of the ellipse."
"result";"be";"ellipse";1.000;"The result is an ellipse."
